
--- initialization ---
iter: 00049, 	 precision: 0.6325,	 best_acc:0.6325
iter: 00099, 	 precision: 0.7490,	 best_acc:0.7490
iter: 00149, 	 precision: 0.7851,	 best_acc:0.7851
iter: 00199, 	 precision: 0.7871,	 best_acc:0.7871
iter: 00249, 	 precision: 0.8112,	 best_acc:0.8112
iter: 00299, 	 precision: 0.8012,	 best_acc:0.8112
iter: 00349, 	 precision: 0.8253,	 best_acc:0.8253
iter: 00399, 	 precision: 0.8414,	 best_acc:0.8414
iter: 00449, 	 precision: 0.8514,	 best_acc:0.8514
iter: 00499, 	 precision: 0.8574,	 best_acc:0.8574
iter: 00549, 	 precision: 0.8635,	 best_acc:0.8635
iter: 00599, 	 precision: 0.8876,	 best_acc:0.8876
iter: 00649, 	 precision: 0.8876,	 best_acc:0.8876
iter: 00699, 	 precision: 0.8815,	 best_acc:0.8876
iter: 00749, 	 precision: 0.8916,	 best_acc:0.8916
iter: 00799, 	 precision: 0.8896,	 best_acc:0.8916
iter: 00849, 	 precision: 0.8936,	 best_acc:0.8936
iter: 00899, 	 precision: 0.8996,	 best_acc:0.8996
iter: 00949, 	 precision: 0.8976,	 best_acc:0.8996
iter: 00999, 	 precision: 0.9056,	 best_acc:0.9056
iter: 01049, 	 precision: 0.9056,	 best_acc:0.9056
iter: 01099, 	 precision: 0.9056,	 best_acc:0.9056
iter: 01149, 	 precision: 0.8976,	 best_acc:0.9056
iter: 01199, 	 precision: 0.9016,	 best_acc:0.9056
iter: 01249, 	 precision: 0.9036,	 best_acc:0.9056
iter: 01299, 	 precision: 0.9036,	 best_acc:0.9056
iter: 01349, 	 precision: 0.9056,	 best_acc:0.9056
iter: 01399, 	 precision: 0.9016,	 best_acc:0.9056
iter: 01449, 	 precision: 0.9016,	 best_acc:0.9056
iter: 01499, 	 precision: 0.9036,	 best_acc:0.9056
iter: 01549, 	 precision: 0.9056,	 best_acc:0.9056
iter: 01599, 	 precision: 0.9056,	 best_acc:0.9056
iter: 01649, 	 precision: 0.9056,	 best_acc:0.9056
iter: 01699, 	 precision: 0.9036,	 best_acc:0.9056
iter: 01749, 	 precision: 0.9016,	 best_acc:0.9056
iter: 01799, 	 precision: 0.8996,	 best_acc:0.9056
iter: 01849, 	 precision: 0.9016,	 best_acc:0.9056
iter: 01899, 	 precision: 0.9016,	 best_acc:0.9056
iter: 01949, 	 precision: 0.9076,	 best_acc:0.9076
iter: 01999, 	 precision: 0.9076,	 best_acc:0.9076
