
--- initialization ---
iter: 00049, 	 precision: 0.6056,	 best_acc:0.6056
iter: 00099, 	 precision: 0.6422,	 best_acc:0.6422
iter: 00149, 	 precision: 0.6681,	 best_acc:0.6681
iter: 00199, 	 precision: 0.6667,	 best_acc:0.6681
iter: 00249, 	 precision: 0.6766,	 best_acc:0.6766
iter: 00299, 	 precision: 0.6890,	 best_acc:0.6890
iter: 00349, 	 precision: 0.6858,	 best_acc:0.6890
iter: 00399, 	 precision: 0.7022,	 best_acc:0.7022
iter: 00449, 	 precision: 0.7082,	 best_acc:0.7082
iter: 00499, 	 precision: 0.7164,	 best_acc:0.7164
iter: 00549, 	 precision: 0.7039,	 best_acc:0.7164
iter: 00599, 	 precision: 0.7135,	 best_acc:0.7164
iter: 00649, 	 precision: 0.7157,	 best_acc:0.7164
iter: 00699, 	 precision: 0.7295,	 best_acc:0.7295
iter: 00749, 	 precision: 0.7316,	 best_acc:0.7316
iter: 00799, 	 precision: 0.7348,	 best_acc:0.7348
iter: 00849, 	 precision: 0.7334,	 best_acc:0.7348
iter: 00899, 	 precision: 0.7387,	 best_acc:0.7387
iter: 00949, 	 precision: 0.7423,	 best_acc:0.7423
iter: 00999, 	 precision: 0.7401,	 best_acc:0.7423
iter: 01049, 	 precision: 0.7451,	 best_acc:0.7451
iter: 01099, 	 precision: 0.7405,	 best_acc:0.7451
iter: 01149, 	 precision: 0.7426,	 best_acc:0.7451
iter: 01199, 	 precision: 0.7458,	 best_acc:0.7458
iter: 01249, 	 precision: 0.7448,	 best_acc:0.7458
iter: 01299, 	 precision: 0.7529,	 best_acc:0.7529
iter: 01349, 	 precision: 0.7483,	 best_acc:0.7529
iter: 01399, 	 precision: 0.7458,	 best_acc:0.7529
iter: 01449, 	 precision: 0.7536,	 best_acc:0.7536
iter: 01499, 	 precision: 0.7551,	 best_acc:0.7551
iter: 01549, 	 precision: 0.7543,	 best_acc:0.7551
iter: 01599, 	 precision: 0.7540,	 best_acc:0.7551
iter: 01649, 	 precision: 0.7590,	 best_acc:0.7590
iter: 01699, 	 precision: 0.7540,	 best_acc:0.7590
iter: 01749, 	 precision: 0.7590,	 best_acc:0.7590
iter: 01799, 	 precision: 0.7568,	 best_acc:0.7590
iter: 01849, 	 precision: 0.7575,	 best_acc:0.7590
iter: 01899, 	 precision: 0.7583,	 best_acc:0.7590
iter: 01949, 	 precision: 0.7565,	 best_acc:0.7590
iter: 01999, 	 precision: 0.7583,	 best_acc:0.7590
iter: 02049, 	 precision: 0.7586,	 best_acc:0.7590
iter: 02099, 	 precision: 0.7597,	 best_acc:0.7597
iter: 02149, 	 precision: 0.7575,	 best_acc:0.7597
iter: 02199, 	 precision: 0.7558,	 best_acc:0.7597
iter: 02249, 	 precision: 0.7561,	 best_acc:0.7597
iter: 02299, 	 precision: 0.7583,	 best_acc:0.7597
iter: 02349, 	 precision: 0.7583,	 best_acc:0.7597
iter: 02399, 	 precision: 0.7554,	 best_acc:0.7597
iter: 02449, 	 precision: 0.7540,	 best_acc:0.7597
iter: 02499, 	 precision: 0.7575,	 best_acc:0.7597
iter: 02549, 	 precision: 0.7547,	 best_acc:0.7597
iter: 02599, 	 precision: 0.7540,	 best_acc:0.7597
iter: 02649, 	 precision: 0.7526,	 best_acc:0.7597
iter: 02699, 	 precision: 0.7533,	 best_acc:0.7597
iter: 02749, 	 precision: 0.7547,	 best_acc:0.7597
iter: 02799, 	 precision: 0.7551,	 best_acc:0.7597
iter: 02849, 	 precision: 0.7554,	 best_acc:0.7597
iter: 02899, 	 precision: 0.7522,	 best_acc:0.7597
iter: 02949, 	 precision: 0.7536,	 best_acc:0.7597
iter: 02999, 	 precision: 0.7568,	 best_acc:0.7597
iter: 03049, 	 precision: 0.7543,	 best_acc:0.7597
iter: 03099, 	 precision: 0.7543,	 best_acc:0.7597
iter: 03149, 	 precision: 0.7558,	 best_acc:0.7597
iter: 03199, 	 precision: 0.7533,	 best_acc:0.7597
iter: 03249, 	 precision: 0.7519,	 best_acc:0.7597
iter: 03299, 	 precision: 0.7547,	 best_acc:0.7597
iter: 03349, 	 precision: 0.7533,	 best_acc:0.7597
iter: 03399, 	 precision: 0.7568,	 best_acc:0.7597
iter: 03449, 	 precision: 0.7533,	 best_acc:0.7597
iter: 03499, 	 precision: 0.7529,	 best_acc:0.7597
iter: 03549, 	 precision: 0.7543,	 best_acc:0.7597
iter: 03599, 	 precision: 0.7536,	 best_acc:0.7597
iter: 03649, 	 precision: 0.7540,	 best_acc:0.7597
iter: 03699, 	 precision: 0.7540,	 best_acc:0.7597
iter: 03749, 	 precision: 0.7536,	 best_acc:0.7597
iter: 03799, 	 precision: 0.7494,	 best_acc:0.7597
iter: 03849, 	 precision: 0.7526,	 best_acc:0.7597
iter: 03899, 	 precision: 0.7519,	 best_acc:0.7597
iter: 03949, 	 precision: 0.7540,	 best_acc:0.7597
iter: 03999, 	 precision: 0.7540,	 best_acc:0.7597
