
--- initialization ---
iter: 00049, 	 precision: 0.6189,	 best_acc:0.6189
iter: 00099, 	 precision: 0.7333,	 best_acc:0.7333
iter: 00149, 	 precision: 0.7484,	 best_acc:0.7484
iter: 00199, 	 precision: 0.7925,	 best_acc:0.7925
iter: 00249, 	 precision: 0.8113,	 best_acc:0.8113
iter: 00299, 	 precision: 0.8063,	 best_acc:0.8113
iter: 00349, 	 precision: 0.8629,	 best_acc:0.8629
iter: 00399, 	 precision: 0.8428,	 best_acc:0.8629
iter: 00449, 	 precision: 0.8440,	 best_acc:0.8629
iter: 00499, 	 precision: 0.8604,	 best_acc:0.8629
iter: 00549, 	 precision: 0.8667,	 best_acc:0.8667
iter: 00599, 	 precision: 0.8981,	 best_acc:0.8981
iter: 00649, 	 precision: 0.8969,	 best_acc:0.8981
iter: 00699, 	 precision: 0.9107,	 best_acc:0.9107
iter: 00749, 	 precision: 0.9119,	 best_acc:0.9119
iter: 00799, 	 precision: 0.9208,	 best_acc:0.9208
iter: 00849, 	 precision: 0.9195,	 best_acc:0.9208
iter: 00899, 	 precision: 0.9220,	 best_acc:0.9220
iter: 00949, 	 precision: 0.9220,	 best_acc:0.9220
iter: 00999, 	 precision: 0.9270,	 best_acc:0.9270
iter: 01049, 	 precision: 0.9270,	 best_acc:0.9270
iter: 01099, 	 precision: 0.9283,	 best_acc:0.9283
iter: 01149, 	 precision: 0.9220,	 best_acc:0.9283
iter: 01199, 	 precision: 0.9283,	 best_acc:0.9283
iter: 01249, 	 precision: 0.9296,	 best_acc:0.9296
iter: 01299, 	 precision: 0.9283,	 best_acc:0.9296
iter: 01349, 	 precision: 0.9308,	 best_acc:0.9308
iter: 01399, 	 precision: 0.9283,	 best_acc:0.9308
iter: 01449, 	 precision: 0.9296,	 best_acc:0.9308
iter: 01499, 	 precision: 0.9333,	 best_acc:0.9333
iter: 01549, 	 precision: 0.9333,	 best_acc:0.9333
iter: 01599, 	 precision: 0.9346,	 best_acc:0.9346
iter: 01649, 	 precision: 0.9321,	 best_acc:0.9346
iter: 01699, 	 precision: 0.9321,	 best_acc:0.9346
iter: 01749, 	 precision: 0.9321,	 best_acc:0.9346
iter: 01799, 	 precision: 0.9333,	 best_acc:0.9346
iter: 01849, 	 precision: 0.9333,	 best_acc:0.9346
iter: 01899, 	 precision: 0.9321,	 best_acc:0.9346
iter: 01949, 	 precision: 0.9296,	 best_acc:0.9346
iter: 01999, 	 precision: 0.9346,	 best_acc:0.9346
